tax_id	species	genus	family	order	class	phylum	clade	superkingdom	subspecies	species subgroup	species group
2861002	Klebsiella phage Geezett	Jedunavirus			Caudoviricetes	Uroviricota	Duplodnaviria	Viruses			
2956337	Primolicivirus Pf8	Primolicivirus	Inoviridae	Tubulavirales	Faserviricetes	Hofneiviricota	Monodnaviria	Viruses			
2843844	Bicehmovirus pelenecus	Bicehmovirus	Steitzviridae	Timlovirales	Leviviricetes	Lenarviricota	Riboviria	Viruses			
1931370	Biomphalaria virus 2			Picornavirales	Pisoniviricetes	Pisuviricota	Riboviria	Viruses			
2955653	Cheoctovirus kristaram	Cheoctovirus			Caudoviricetes	Uroviricota	Duplodnaviria	Viruses			
2734586	Capsicum India alphasatellite	Clecrusatellite	Alphasatellitidae					Viruses			
3052168	Cyclovirus taniilai	Cyclovirus	Circoviridae	Cirlivirales	Arfiviricetes	Cressdnaviricota	Monodnaviria	Viruses			
1671382	Astrovirus Er/SZAL6/HUN/2011		Astroviridae	Stellavirales	Stelpaviricetes	Pisuviricota	Riboviria	Viruses			
3048337	Betabaculovirus spliturae	Betabaculovirus	Baculoviridae	Lefavirales	Naldaviricetes			Viruses			
2845130	Colunavirus CL1	Colunavirus			Caudoviricetes	Uroviricota	Duplodnaviria	Viruses			
2845455	Skunavirus L6	Skunavirus			Caudoviricetes	Uroviricota	Duplodnaviria	Viruses			
2169828	Whitefly associated Guatemala alphasatellite 2	Clecrusatellite	Alphasatellitidae					Viruses			
3060640	Ponsvirus pons	Ponsvirus			Caudoviricetes	Uroviricota	Duplodnaviria	Viruses			
945225	Spinach curly top Arizona virus	Becurtovirus	Geminiviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Monodnaviria	Viruses			
753670	Pea necrotic yellow dwarf virus	Nanovirus	Nanoviridae	Mulpavirales	Arfiviricetes	Cressdnaviricota	Monodnaviria	Viruses			
937809	Cordyline virus 1	Velarivirus	Closteroviridae	Martellivirales	Alsuviricetes	Kitrinoviricota	Riboviria	Viruses			
3060528	Peduovirus HQ103	Peduovirus	Peduoviridae		Caudoviricetes	Uroviricota	Duplodnaviria	Viruses			
2844855	Honeysuckle yellow vein mosaic Nara betasatellite	Betasatellite	Tolecusatellitidae					Viruses			
2591379	Bacillus phage vB_BspS_SplendidRed				Caudoviricetes	Uroviricota	Duplodnaviria	Viruses			
1873998	Bacillus phage Kida	Wphvirus	Herelleviridae		Caudoviricetes	Uroviricota	Duplodnaviria	Viruses			
3060828	Zhoulongquanvirus esscess	Zhoulongquanvirus	Kyanoviridae		Caudoviricetes	Uroviricota	Duplodnaviria	Viruses			
1965378	Felixounavirus AYO145A	Felixounavirus			Caudoviricetes	Uroviricota	Duplodnaviria	Viruses			
10685	Okubovirus SPO1	Okubovirus	Herelleviridae		Caudoviricetes	Uroviricota	Duplodnaviria	Viruses			
1922442	Beihai narna-like virus 15						Riboviria	Viruses			
2733882	Teseptimavirus Vi06	Teseptimavirus	Autographiviridae		Caudoviricetes	Uroviricota	Duplodnaviria	Viruses			
270117	Euphorbia leaf curl virus	Begomovirus	Geminiviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Monodnaviria	Viruses			
104580	Kadipiro virus	Seadornavirus	Sedoreoviridae	Reovirales	Resentoviricetes	Duplornaviricota	Riboviria	Viruses			
2801553	Salmonella phage vB_SenS_ER1	Jerseyvirus			Caudoviricetes	Uroviricota	Duplodnaviria	Viruses			
1940555	Murine roseolovirus	Roseolovirus	Orthoherpesviridae	Herpesvirales	Herviviricetes	Peploviricota	Duplodnaviria	Viruses			
2483307	Bipolaris maydis partitivirus 2		Partitiviridae	Durnavirales	Duplopiviricetes	Pisuviricota	Riboviria	Viruses			
1922827	Changping earthworm virus 2						Riboviria	Viruses			
2733945	Pelagivirus S35C6	Pelagivirus	Autographiviridae		Caudoviricetes	Uroviricota	Duplodnaviria	Viruses			
3047384	Metapneumovirus avis	Metapneumovirus	Pneumoviridae	Mononegavirales	Monjiviricetes	Negarnaviricota	Riboviria	Viruses			
3052327	Mammarenavirus solweziense	Mammarenavirus	Arenaviridae	Bunyavirales	Ellioviricetes	Negarnaviricota	Riboviria	Viruses			
